5000 docs, 21.3M chars, 106 docs/s
10000 docs, 31.1M chars, 212 docs/s
15000 docs, 40.4M chars, 318 docs/s
20000 docs, 48.9M chars, 423 docs/s
25000 docs, 55.7M chars, 319 docs/s
30000 docs, 62.6M chars, 383 docs/s
35000 docs, 68.5M chars, 446 docs/s
40000 docs, 72.4M chars, 509 docs/s
45000 docs, 73.6M chars, 573 docs/s
50000 docs, 78.6M chars, 635 docs/s
55000 docs, 84.9M chars, 698 docs/s
60000 docs, 92.1M chars, 761 docs/s
65000 docs, 99.0M chars, 823 docs/s
70000 docs, 106.0M chars, 886 docs/s
75000 docs, 113.6M chars, 723 docs/s
80000 docs, 119.5M chars, 769 docs/s
85000 docs, 125.3M chars, 814 docs/s
90000 docs, 130.2M chars, 860 docs/s
95000 docs, 135.0M chars, 905 docs/s
100000 docs, 140.3M chars, 949 docs/s
105000 docs, 144.7M chars, 994 docs/s
110000 docs, 149.3M chars, 1038 docs/s
115000 docs, 154.7M chars, 1082 docs/s
120000 docs, 161.0M chars, 1125 docs/s
125000 docs, 166.5M chars, 923 docs/s
130000 docs, 171.1M chars, 957 docs/s
135000 docs, 175.8M chars, 992 docs/s
140000 docs, 178.9M chars, 1026 docs/s
145000 docs, 182.2M chars, 1060 docs/s
150000 docs, 186.6M chars, 1093 docs/s
155000 docs, 190.6M chars, 1127 docs/s
160000 docs, 193.7M chars, 1160 docs/s
165000 docs, 196.9M chars, 1194 docs/s
170000 docs, 199.9M chars, 1227 docs/s
175000 docs, 202.9M chars, 1260 docs/s
180000 docs, 207.2M chars, 1293 docs/s
185000 docs, 210.5M chars, 1325 docs/s
190000 docs, 214.1M chars, 1357 docs/s
195000 docs, 217.5M chars, 1389 docs/s
200000 docs, 221.1M chars, 1303 docs/s
205000 docs, 226.8M chars, 1332 docs/s
210000 docs, 250.8M chars, 1360 docs/s
215000 docs, 254.1M chars, 1389 docs/s
220000 docs, 257.0M chars, 1418 docs/s
225000 docs, 261.0M chars, 1447 docs/s
230000 docs, 265.3M chars, 1476 docs/s
235000 docs, 268.0M chars, 1504 docs/s
240000 docs, 271.1M chars, 1533 docs/s
simplewiki done: 241787 docs, 272,336,353 chars -> C:\Users\Anand\Desktop\Projects\Zeus\corpus\raw\simplewiki.txt
